epoch,auc,categorical_accuracy,f1_score,loss,precision,recall,val_auc,val_categorical_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.8383501172065735,0.9116379022598267,0.5400300621986389,1.3292025327682495,0.022697918117046356,0.94050532579422,0.7258906364440918,0.9850393533706665,0.5865881443023682,1.0202357769012451,0.013285718858242035,0.9683544039726257
1,0.6220519542694092,0.766972005367279,0.4768829345703125,3.2931034564971924,0.010592374950647354,0.8666666746139526,0.521636962890625,0.9685039520263672,0.5227654576301575,3.899540662765503,0.00825251080095768,0.952531635761261
2,0.606061577796936,0.5926724076271057,0.4066616892814636,19.823814392089844,0.010700730606913567,0.7630434632301331,0.5032385587692261,0.8645669221878052,0.46260204911231995,3.9133553504943848,0.00794549472630024,0.9992088675498962
3,0.592513918876648,0.3876616358757019,0.26421505212783813,36.35991287231445,0.010601568967103958,0.685799777507782,0.5137373208999634,0.7968503832817078,0.467659056186676,10.328596115112305,0.00808373000472784,0.9905063509941101
4,0.5775805115699768,0.26912716031074524,0.1944660097360611,14.606680870056152,0.010007130913436413,0.6972576975822449,0.5926387310028076,0.7968503832817078,0.4448886513710022,1.5486342906951904,0.009372161701321602,0.9960442781448364
5,0.6677252054214478,0.4094827473163605,0.2728661894798279,3.2295258045196533,0.013539128005504608,0.7480957508087158,0.6776227951049805,0.8685039281845093,0.5170992016792297,1.3440629243850708,0.011274694465100765,0.9960442781448364
6,0.7077127695083618,0.5086206793785095,0.3561067581176758,2.6815733909606934,0.015122197568416595,0.8053289651870728,0.7737897038459778,0.9055117964744568,0.5817208290100098,1.2466217279434204,0.015149149112403393,0.9976266026496887
7,0.7357128858566284,0.579741358757019,0.404447078704834,2.386314630508423,0.01632516458630562,0.835054337978363,0.8283289670944214,0.9188976287841797,0.5646278858184814,1.1927143335342407,0.019610611721873283,0.9889240264892578
8,0.7476447820663452,0.607758641242981,0.4203972816467285,2.2505388259887695,0.017010638490319252,0.8479500412940979,0.7793797254562378,0.9251968264579773,0.5785747766494751,1.177404522895813,0.015476717613637447,0.9960442781448364
9,0.7651016712188721,0.6360452771186829,0.4395451843738556,2.1945042610168457,0.017502497881650925,0.8762578368186951,0.8178174495697021,0.9393700957298279,0.6016212105751038,1.1606999635696411,0.018340278416872025,0.9889240264892578
10,0.7795305252075195,0.6769935488700867,0.47974395751953125,2.0665409564971924,0.018666956573724747,0.886746346950531,0.7432916760444641,0.9448819160461426,0.5870930552482605,1.1571836471557617,0.013451998122036457,0.9889240264892578
11,0.7577270269393921,0.670258641242981,0.4691305160522461,2.168642282485962,0.01673964411020279,0.8856599926948547,0.8228404521942139,0.948031485080719,0.5814617276191711,1.2492560148239136,0.018829431384801865,0.9857594966888428
12,0.73759526014328,0.6635237336158752,0.4667873978614807,3.212015151977539,0.015942327678203583,0.8660130500793457,0.8571932911872864,0.9370078444480896,0.5903322100639343,1.2665519714355469,0.024713950231671333,0.9723101258277893
13,0.7522379159927368,0.6629849076271057,0.46473681926727295,2.496767282485962,0.01700441539287567,0.8685140013694763,0.806493878364563,0.9456692934036255,0.5840225219726562,1.9685331583023071,0.01760140247642994,0.984968364238739
